"link","jenis_pekerjaan","nama_perusahaan","lokasi_perusahaan","kemampuan"
"https://www.techinasia.com/jobs/838dfc41-32e7-40b2-8b51-fe19e0d5ab59","UI/UX Designer","Humata Indonesia","Jakarta, Indonesia (Remote)","Adobe Illustrator, Adobe Photoshop, Adobe Indesign"
"https://www.techinasia.com/jobs/b24c85fc-f19d-4d4f-af59-4f99ba940d7a","Golang Developer - Finance Company","SIGMATECH","Jakarta, Indonesia","Golang, Backend Development, SQL Server, MySQL"
"https://www.techinasia.com/jobs/7ea36153-a086-47fc-99de-b8bdc6a3a351","IT QA Automation - Finance Company","SIGMATECH","Jakarta, Indonesia","Node.js, Test Automation, Selenium, Javascript, Linux"
"https://www.techinasia.com/jobs/c8f8b8d0-5c4b-467d-b1a8-8600420fbab2","Java Developer - Insurance Company","SIGMATECH","Jakarta, Indonesia","Java Apache, Tomcat, Java J2EE, Angular, Javascript"
"https://www.techinasia.com/jobs/94a20b93-f95c-463f-b431-49215b6e9920","Node.JS Developer - Logistic Company","SIGMATECH","Jakarta, Indonesia","Node.js, REST APIs, AJAX, CodeIgniter"
"https://www.techinasia.com/jobs/d16ae293-3e76-4a90-b2de-3eef0e1e3469","Legal Assistant Manager","Halodoc ID","Jakarta, Indonesia","Legal Management, Leadership"
"https://www.techinasia.com/jobs/dcf19c9d-be07-47bc-93f5-3e8b308b4be8","Corporate Analyst","Finku","Jakarta, Indonesia","Product Management, Product Marketing, Business Analysis, Business Intelligence"
"https://www.techinasia.com/jobs/3ff61e60-8844-40c7-999d-daaed40c72c3","Business Manager","Influence ID","Jakarta, Indonesia","Sales & Marketing, Digital Marketing, Business Development, Marketing Communications, Sales Strategy & Management"
"https://www.techinasia.com/jobs/9efae31d-735f-4977-8f95-4121d558a59e","Team Lead .Net Developer","PT. Informasi Teknologi Indonesia","Jakarta, Indonesia",".NET, Java, Team, Leadership"
"https://www.techinasia.com/jobs/b6cdb4f0-17e2-4f6d-87f4-3c0d43bb79d1","Social media Intern (Warung Pintar)","SIRCLO","Tangerang, Indonesia","Social Media, Social Media Marketing, Content Strategy"
"https://www.techinasia.com/jobs/e81bd753-0d68-455f-a4e4-48cd511830d9","Senior Finance Associate","Deliveree Indonesia","Jakarta, Indonesia","Corporate Finance, Planning Financial, Analysis Financial Management"
"https://www.techinasia.com/jobs/e9c1f7c8-cdd4-4a9d-bd04-3593672e854d","Software Documentation / Technical Writer","Jubelio","Jakarta, Indonesia","Databases, Agile, System Administration"
"https://www.techinasia.com/jobs/4d6bc728-8fdb-413a-bf73-f975775d0057","Business Development Manager MAPCLUB","GTech Digital Asia","Jakarta, Indonesia","E-commerce, Business Development & Partnerships, Marketing Strategy, Merchandising, Digital Marketing, Business Development, Communication Skills, Project Management, Retail Management"
"https://www.techinasia.com/jobs/c893391d-864b-4d2b-bbf0-72649771733d","IT Support & Helpdesk","Indocyber Global Teknologi","Jakarta, Indonesia","Networking, Information Technology, Network Security"
"https://www.techinasia.com/jobs/e87736ae-144e-44f6-a851-19982a4b62e9","Corporate Legal Executive","PT Green City Traffic","Kemayoran, Indonesia","Business Operations, Contract, Negotiations Legal"
"https://www.techinasia.com/jobs/80f5c5cc-8d5f-4e43-88af-40ff45f52a05","Manufacturing Finance Accounting Manager","PT Green City Traffic","Kemayoran, Indonesia","SAP, Budgeting, Problem Solving, Asset Management, Financial Management, Inventory Management, Retail Management, Product Management"
"https://www.techinasia.com/jobs/bf60145a-6e43-46fc-a848-80334deb3e82","Senior Backend Developer (Remote/Hybrid)","Jobfonesia","Jakarta, Indonesia (Remote)","C#, .NET, Javascript, jQuery, REST APIs, MySQL, MongoDB"
"https://www.techinasia.com/jobs/c25a6f4d-6528-4532-8264-00247edc77c8","Product Manager (Lending)","KoinWorks","Jakarta, Indonesia","Product Development, Product Management, Product Strategy"
"https://www.techinasia.com/jobs/40e166c2-5413-4b8e-b4f1-0d218cb8af20","IT Project Admin","Indocyber Global Teknologi","Jakarta, Indonesia","Microsoft Word, Attention to Detail, Vendor Management, Microsoft Excel"
